"Zaman damgası","Bölümünüz nedir?","Kaçıncı sınıftasınız?","İlk işinizde kaç TL maaş almayı bekliyorsunuz?"
"2018/02/23 5:40:05 ÖS GMT+1","Yönetim Bilişim Sistemleri","2","3500"
"2018/02/23 5:40:35 ÖS GMT+1","İktisat","3","3000"
"2018/02/23 5:40:54 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 5:42:40 ÖS GMT+1","Makine Mühendisliği","4","4500"
"2018/02/23 5:42:43 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","3","4000"
"2018/02/23 5:43:10 ÖS GMT+1","Çeviribilim","3","5000"
"2018/02/23 5:43:39 ÖS GMT+1","Uluslararası Ticaret","Hazırlık","3500"
"2018/02/23 5:43:58 ÖS GMT+1","Moleküler Biyoloji ve Genetik","1","3000"
"2018/02/23 5:44:07 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","4","4200"
"2018/02/23 5:44:35 ÖS GMT+1","Moleküler Biyoloji ve Genetik","4","4000"
"2018/02/23 5:44:51 ÖS GMT+1","Fizik","2","4000"
"2018/02/23 5:45:34 ÖS GMT+1","Çeviribilim","Hazırlık","3000"
"2018/02/23 5:45:52 ÖS GMT+1","Endüstri Mühendisliği","3","4000"
"2018/02/23 5:46:04 ÖS GMT+1","İktisat","3","4000"
"2018/02/23 5:46:05 ÖS GMT+1","Yönetim Bilişim Sistemleri","3","4000"
"2018/02/23 5:46:38 ÖS GMT+1","Matematik","2","5000"
"2018/02/23 5:47:12 ÖS GMT+1","Çeviribilim","1","5000"
"2018/02/23 5:47:14 ÖS GMT+1","İşletme","3","4500"
"2018/02/23 5:47:39 ÖS GMT+1","Matematik","4","2000"
"2018/02/23 5:48:29 ÖS GMT+1","İşletme","3","3000"
"2018/02/23 5:48:32 ÖS GMT+1","İktisat","4","2500"
"2018/02/23 5:49:26 ÖS GMT+1","İlköğretim Matematik Öğretmenliği","3","2800"
"2018/02/23 5:49:39 ÖS GMT+1","Kimya Mühendisliği","3","3000 "
"2018/02/23 5:49:41 ÖS GMT+1","Uluslararası Ticaret","4","4000"
"2018/02/23 5:49:50 ÖS GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","4","3000"
"2018/02/23 5:49:58 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","1","3000"
"2018/02/23 5:50:45 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 5:51:07 ÖS GMT+1","Uluslararası Ticaret","Hazırlık","4600"
"2018/02/23 5:51:23 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","3","1700"
"2018/02/23 5:51:28 ÖS GMT+1","Kimya Öğretmenliği","4","3000"
"2018/02/23 5:52:03 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","4","3300"
"2018/02/23 5:52:28 ÖS GMT+1","İşletme","2","3500"
"2018/02/23 5:52:33 ÖS GMT+1","Okul Öncesi Öğretmenliği","4","3500"
"2018/02/23 5:52:37 ÖS GMT+1","Okul Öncesi Öğretmenliği","Hazırlık","5000"
"2018/02/23 5:52:54 ÖS GMT+1","Psikoloji","2","5000"
"2018/02/23 5:52:58 ÖS GMT+1","Psikoloji","4","2000"
"2018/02/23 5:54:08 ÖS GMT+1","İktisat","3","4500"
"2018/02/23 5:54:12 ÖS GMT+1","Kimya Mühendisliği","4","4000"
"2018/02/23 5:54:21 ÖS GMT+1","Psikoloji","3","3000"
"2018/02/23 5:54:33 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","2","4500"
"2018/02/23 5:54:43 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","4","2500"
"2018/02/23 5:55:40 ÖS GMT+1","Bilgisayar Mühendisliği","4","4000"
"2018/02/23 5:55:59 ÖS GMT+1","Sosyoloji","4","3000"
"2018/02/23 5:56:10 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","4","6000"
"2018/02/23 5:56:14 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","4","3500"
"2018/02/23 5:56:15 ÖS GMT+1","İktisat","4","4000"
"2018/02/23 5:56:20 ÖS GMT+1","Bilgisayar Mühendisliği","2","10000"
"2018/02/23 5:56:21 ÖS GMT+1","Yönetim Bilişim Sistemleri","2","4000"
"2018/02/23 5:56:52 ÖS GMT+1","Tarih","2","2500"
"2018/02/23 5:57:08 ÖS GMT+1","Endüstri Mühendisliği","1","6500"
"2018/02/23 5:57:37 ÖS GMT+1","Uluslararası Ticaret","3","4000"
"2018/02/23 5:57:45 ÖS GMT+1","İktisat","2","2800"
"2018/02/23 5:57:59 ÖS GMT+1","İnşaat Mühendisliği","1","1603"
"2018/02/23 5:58:08 ÖS GMT+1","Türk Dili ve Edebiyatı","Hazırlık","2000"
